quant_level,category,detail,count
Q4_K_M,reasoning,numeric_mismatch,5
Q4_K_M,instruction_following,format_ok_content_wrong,4
Q4_K_M,summarization,token_f1=0.03,3
Q4_K_M,information_extraction,values_missing:attendee,2
Q4_K_M,reasoning,day_mismatch_or_missing,2
Q4_K_M,information_extraction,"values_missing:address,month_sold",1
Q4_K_M,information_extraction,values_missing:date,1
Q4_K_M,information_extraction,"values_missing:date,total",1
Q4_K_M,information_extraction,"values_missing:doctor,hours",1
Q4_K_M,information_extraction,values_missing:end_date,1
Q4_K_M,information_extraction,values_missing:hours,1
Q4_K_M,information_extraction,values_missing:month_sold,1
Q4_K_M,information_extraction,"values_missing:name,phone",1
Q4_K_M,information_extraction,"values_missing:start_date,end_date",1
Q4_K_M,instruction_following,content_and_format_wrong,1
Q4_K_M,structured_output,"fields_wrong:prezzo,disponibile",1
Q4_K_M,structured_output,"fields_wrong:price,in_stock",1
Q4_K_M,structured_output,list_mismatch,1
Q4_K_M,summarization,token_f1=0.00,1
Q4_K_M,summarization,token_f1=0.09,1
Q4_K_M,summarization,token_f1=0.11,1
Q4_K_M,summarization,token_f1=0.19,1
Q4_K_M,summarization,token_f1=0.20,1
Q4_K_M,summarization,token_f1=0.30,1
Q4_K_M,summarization,token_f1=0.33,1
Q4_K_M,summarization,token_f1=0.44,1
Q4_K_M,summarization,token_f1=0.49,1
Q4_K_M,summarization,token_f1=0.50,1
Q4_K_M,summarization,token_f1=0.52,1
Q4_K_M,summarization,token_f1=0.55,1
Q4_K_M,summarization,token_f1=0.62,1
Q3_K_M,instruction_following,format_ok_content_wrong,9
Q3_K_M,reasoning,numeric_mismatch,5
Q3_K_M,information_extraction,values_missing:attendee,2
Q3_K_M,information_extraction,"values_missing:doctor,location,days,hours",2
Q3_K_M,information_extraction,values_missing:name,2
Q3_K_M,information_extraction,"values_missing:start_date,end_date",2
Q3_K_M,reasoning,day_mismatch_or_missing,2
Q3_K_M,summarization,token_f1=0.58,2
Q3_K_M,information_extraction,invalid_json,1
Q3_K_M,information_extraction,values_missing:date,1
Q3_K_M,information_extraction,"values_missing:order_number,carrier,eta_days",1
Q3_K_M,information_extraction,values_missing:price,1
Q3_K_M,structured_output,"fields_wrong:prezzo,disponibile",1
Q3_K_M,structured_output,"fields_wrong:price,in_stock",1
Q3_K_M,structured_output,fields_wrong:temperatura_celsius,1
Q3_K_M,structured_output,list_mismatch,1
Q3_K_M,summarization,token_f1=0.29,1
Q3_K_M,summarization,token_f1=0.30,1
Q3_K_M,summarization,token_f1=0.33,1
Q3_K_M,summarization,token_f1=0.34,1
Q3_K_M,summarization,token_f1=0.35,1
Q3_K_M,summarization,token_f1=0.36,1
Q3_K_M,summarization,token_f1=0.39,1
Q3_K_M,summarization,token_f1=0.41,1
Q3_K_M,summarization,token_f1=0.43,1
Q3_K_M,summarization,token_f1=0.45,1
Q3_K_M,summarization,token_f1=0.54,1
Q3_K_M,summarization,token_f1=0.55,1
Q3_K_M,summarization,token_f1=0.61,1
Q3_K_M,summarization,token_f1=0.73,1
